semantic_sign_id,name_en,category,severity,parameter_type,priority,required_for,assignment_sign_ids,assignment_image_count,assignment_parameter_values,current_p5_crops,train_count,validation_count,test_count,tiny_crop_count,minimum_clean_crops,good_target_crops,strong_target_crops,gap_to_minimum,gap_to_good,split_status,qc_risk,data_status,collection_rank,recommended_next_step,limitation_if_not_fixed,include_in_next_classifier,weak_class_contact_sheet
side_road_left,Side road on left,warning,caution,direction,should,secondary_malaysia;current_p5_dataset,,0,,15,10,2,3,2,30,80,150,15,65,ok,known_noise_history,below_minimum,P2_collect_after_P0,Collect and annotate at least 15 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/side_road_left.jpg
vehicle_collision_hazard,Vehicle collision hazard,warning,warning,none,should,secondary_malaysia;current_p5_dataset,,0,,20,11,6,3,0,30,80,150,10,60,ok,known_noise_history,below_minimum,P2_collect_after_P0,Collect and annotate at least 10 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/vehicle_collision_hazard.jpg
road_narrows_both,Road narrows,warning,warning,none,should,secondary_malaysia;current_p5_dataset,,0,,21,15,3,3,8,30,80,150,9,59,ok,high_tiny_crop_rate,below_minimum,P2_collect_after_P0,Collect and annotate at least 9 more clean crops; aim for 80 total.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,outputs/review/stage_b_weak_class_contact_sheets/road_narrows_both.jpg
merge_left,Traffic merging from left,warning,warning,direction,should,current_p5_dataset,,0,,34,20,8,6,0,30,80,150,0,46,ok,none,ready_minimum,P5_ready_queue,Can be included in next classifier training after dataset freeze.,No major data-count limitation for the next training pass.,yes,
divided_road_begins,Divided road begins,warning,caution,none,should,secondary_malaysia;current_p5_dataset,,0,,81,49,15,17,14,30,80,150,0,0,ok,none,ready_good,P5_ready_queue,Can be included in next classifier training after dataset freeze.,No major data-count limitation for the next training pass.,yes,
axle_weight_restriction,Axle weight restriction,regulatory,critical,axle_weight,optional,ocr_value,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
bus_stop,Bus stop,information,caution,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
chevron_left,Sharp direction left,warning,warning,direction,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
chevron_right,Sharp direction right,warning,warning,direction,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
construction_vehicle,Construction vehicles,temporary,warning,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
dead_end,Dead end,information,information,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
emergency_phone,Emergency telephone,information,information,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
end_expressway,End of expressway,information,information,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
end_speed_limit,End of speed limit,regulatory,information,speed,optional,ocr_value,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
expressway,Expressway,information,information,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
hospital,Hospital,information,information,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
lane_ends,Lane ends,warning,warning,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
mosque,Mosque,information,information,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
no_bicycle,No bicycles,regulatory,warning,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
no_lane_changing,No lane changing,regulatory,warning,direction,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
no_motorcycle,No motorcycles,regulatory,warning,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
no_pedestrian,No pedestrians,regulatory,warning,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
no_straight_or_right,No straight or right turn,regulatory,warning,direction,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
one_way,One way,information,warning,direction,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
parking,Parking,information,information,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
petrol_station,Petrol station,information,information,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
rest_area,Rest area,information,information,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
road_dip,Road dip,warning,warning,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
straight_or_left,Straight or left,mandatory,warning,direction,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
toll_plaza,Toll plaza,information,warning,none,optional,future_catalogue,,0,,0,0,0,0,0,10,30,50,10,30,no_samples,none,optional_no_data,P4_optional,Do not collect now; exclude from final claims unless later promoted.,No final limitation if excluded from claims.,not_yet,
